t,id,x,y,rho
0.04,94,0.2,0.36,1000
0.04,95,0.24,0.36,1000
0.04,96,0.28,0.36,1000
0.04,97,0.32,0.36,1000
0.04,98,0.36,0.36,1000
0.04,99,0,0.4,1000
0.04,100,0.04,0.4,1000
0.04,101,0.08,0.4,1000
0.04,102,0.12,0.4,1000
0.04,103,0.16,0.4,1000
0.04,104,0.2,0.4,1000
0.04,105,0.24,0.4,1000
0.04,106,0.28,0.4,1000
0.04,107,0.32,0.4,1000
0.04,108,0.36,0.4,1000
0.04,109,0,0.44,1000
0.04,110,0.04,0.44,1000
0.04,111,0.08,0.44,1000
0.04,112,0.12,0.44,1000
0.04,113,0.16,0.44,1000
0.04,114,0.2,0.44,1000
0.04,115,0.24,0.44,1000
0.04,116,0.28,0.44,1000
0.04,117,0.32,0.44,1000
0.04,118,0.36,0.44,1000
0.04,119,0,0.48,1000
0.04,120,0.04,0.48,1000
0.04,121,0.08,0.48,1000
0.04,122,0.12,0.48,1000
0.04,123,0.16,0.48,1000
0.04,124,0.2,0.48,1000
0.04,125,0.24,0.48,1000
0.04,126,0.28,0.48,1000
0.04,127,0.32,0.48,1000
0.04,128,0.36,0.48,1000
0.04,129,0,0.52,1000
0.04,130,0.04,0.52,1000
0.04,131,0.08,0.52,1000
0.04,132,0.12,0.52,1000
0.04,133,0.16,0.52,1000
0.04,134,0.2,0.52,1000
0.04,135,0.24,0.52,1000
0.04,136,0.28,0.52,1000
0.04,137,0.32,0.52,1000
0.04,138,0.36,0.52,1000
0.04,139,0,0.56,1000
0.04,140,0.04,0.56,1000
0.04,141,0.08,0.56,1000
0.04,142,0.12,0.56,1000
0.04,143,0.16,0.56,1000
0.04,144,0.2,0.56,1000
0.04,145,0.24,0.56,1000
0.04,146,0.28,0.56,1000
0.04,147,0.32,0.56,1000
0.04,148,0.36,0.56,1000
0.04,149,0,0.6,1000
0.04,150,0.04,0.6,1000
0.04,151,0.08,0.6,1000
0.04,152,0.12,0.6,1000
0.04,153,0.16,0.6,1000
0.04,154,0.2,0.6,1000
0.04,155,0.24,0.6,1000
0.04,156,0.28,0.6,1000
0.04,157,0.32,0.6,1000
0.04,158,0.36,0.6,1000
0.04,159,0,0.64,1000
0.04,160,0.04,0.64,1000
0.04,161,0.08,0.64,1000
0.04,162,0.12,0.64,1000
0.04,163,0.16,0.64,1000
0.04,164,0.2,0.64,1000
0.04,165,0.24,0.64,1000
0.04,166,0.28,0.64,1000
0.04,167,0.32,0.64,1000
0.04,168,0.36,0.64,1000
0.04,169,0,0.68,1000
0.04,170,0.04,0.68,1000
0.04,171,0.08,0.68,1000
0.04,172,0.12,0.68,1000
0.04,173,0.16,0.68,1000
0.04,174,0.2,0.68,1000
0.04,175,0.24,0.68,1000
0.04,176,0.28,0.68,1000
0.04,177,0.32,0.68,1000
0.04,178,0.36,0.68,1000
0.04,179,0,0.72,1000
0.04,180,0.04,0.72,1000
0.04,181,0.08,0.72,1000
0.04,182,0.12,0.72,1000
0.04,183,0.16,0.72,1000
0.04,184,0.2,0.72,1000
0.04,185,0.24,0.72,1000
0.04,186,0.28,0.72,1000
0.04,187,0.32,0.72,1000
0.04,188,0.36,0.72,1000
0.04,189,0,0.76,1000
0.04,190,0.04,0.76,1000
0.04,191,0.08,0.76,1000
0.04,192,0.12,0.76,1000
0.04,193,0.16,0.76,1000
0.04,194,0.2,0.76,1000
0.04,195,0.24,0.76,1000
0.04,196,0.28,0.76,1000
0.04,197,0.32,0.76,1000
0.04,198,0.36,0.76,1000
0.06,0,0.04,-3.89261e-07,1000
0.06,1,0.08,-3.89261e-07,1000
0.06,2,0.12,-3.89261e-07,1000
0.06,3,0.16,-3.89261e-07,1000
0.06,4,0.2,-3.89261e-07,1000
0.06,5,0.24,-3.89261e-07,1000
0.06,6,0.28,-3.89261e-07,1000
0.06,7,0.32,-3.89261e-07,1000
0.06,8,0.36,-3.89261e-07,1000
0.06,9,0,0.0399996,1000
0.06,10,0.04,0.0399996,1000
0.06,11,0.08,0.0399996,1000
0.06,12,0.12,0.0399996,1000
0.06,13,0.16,0.0399996,1000
0.06,14,0.2,0.0399996,1000
0.06,15,0.24,0.0399996,1000
0.06,16,0.28,0.0399996,1000
0.06,17,0.32,0.0399996,1000
0.06,18,0.36,0.0399996,1000
0.06,19,0,0.0799996,1000
0.06,20,0.04,0.0799996,1000
0.06,21,0.08,0.0799996,1000
0.06,22,0.12,0.0799996,1000
0.06,23,0.16,0.0799996,1000
0.06,24,0.2,0.0799996,1000
0.06,25,0.24,0.0799996,1000
0.06,26,0.28,0.0799996,1000
0.06,27,0.32,0.0799996,1000
0.06,28,0.36,0.0799996,1000
0.06,29,0,0.12,1000
0.06,30,0.04,0.12,1000
0.06,31,0.08,0.12,1000
0.06,32,0.12,0.12,1000
0.06,33,0.16,0.12,1000
0.06,34,0.2,0.12,1000
0.06,35,0.24,0.12,1000
0.06,36,0.28,0.12,1000
0.06,37,0.32,0.12,1000
0.06,38,0.36,0.12,1000
0.06,39,0,0.16,1000
0.06,40,0.04,0.16,1000
0.06,41,0.08,0.16,1000
0.06,42,0.12,0.16,1000
0.06,43,0.16,0.16,1000
0.06,44,0.2,0.16,1000
0.06,45,0.24,0.16,1000
0.06,46,0.28,0.16,1000
0.06,47,0.32,0.16,1000
0.06,48,0.36,0.16,1000
0.06,49,0,0.2,1000
0.06,50,0.04,0.2,1000
0.06,51,0.08,0.2,1000
0.06,52,0.12,0.2,1000
0.06,53,0.16,0.2,1000
0.06,54,0.2,0.2,1000
0.06,55,0.24,0.2,1000
0.06,56,0.28,0.2,1000
0.06,57,0.32,0.2,1000
0.06,58,0.36,0.2,1000
0.06,59,0,0.24,1000
0.06,60,0.04,0.24,1000
0.06,61,0.08,0.24,1000
0.06,62,0.12,0.24,1000
0.06,63,0.16,0.24,1000
0.06,64,0.2,0.24,1000
0.06,65,0.24,0.24,1000
0.06,66,0.28,0.24,1000
0.06,67,0.32,0.24,1000
0.06,68,0.36,0.24,1000
0.06,69,0,0.28,1000
0.06,70,0.04,0.28,1000
0.06,71,0.08,0.28,1000
0.06,72,0.12,0.28,1000
0.06,73,0.16,0.28,1000
0.06,74,0.2,0.28,1000
0.06,75,0.24,0.28,1000
0.06,76,0.28,0.28,1000
0.06,77,0.32,0.28,1000
0.06,78,0.36,0.28,1000
0.06,79,0,0.32,1000
0.06,80,0.04,0.32,1000
0.06,81,0.08,0.32,1000
0.06,82,0.12,0.32,1000
0.06,83,0.16,0.32,1000
0.06,84,0.2,0.32,1000
0.06,85,0.24,0.32,1000
0.06,86,0.28,0.32,1000
0.06,87,0.32,0.32,1000
0.06,88,0.36,0.32,1000
0.06,89,0,0.36,1000
0.06,90,0.04,0.36,1000
0.06,91,0.08,0.36,1000
0.06,92,0.12,0.36,1000
0.06,93,0.16,0.36,1000
0.06,94,0.2,0.36,1000
0.06,95,0.24,0.36,1000
0.06,96,0.28,0.36,1000
0.06,97,0.32,0.36,1000
0.06,98,0.36,0.36,1000
0.06,99,0,0.4,1000
0.06,100,0.04,0.4,1000
0.06,101,0.08,0.4,1000
0.06,102,0.12,0.4,1000
0.06,103,0.16,0.4,1000
0.06,104,0.2,0.4,1000
0.06,105,0.24,0.4,1000
0.06,106,0.28,0.4,1000
0.06,107,0.32,0.4,1000
0.06,108,0.36,0.4,1000
0.06,109,0,0.44,1000
0.06,110,0.04,0.44,1000
0.06,111,0.08,0.44,1000
0.06,112,0.12,0.44,1000
0.06,113,0.16,0.44,1000
0.06,114,0.2,0.44,1000
0.06,115,0.24,0.44,1000
0.06,116,0.28,0.44,1000
0.06,117,0.32,0.44,1000
0.06,118,0.36,0.44,1000
0.06,119,0,0.48,1000
0.06,120,0.04,0.48,1000
0.06,121,0.08,0.48,1000
0.06,122,0.12,0.48,1000
0.06,123,0.16,0.48,1000
0.06,124,0.2,0.48,1000
0.06,125,0.24,0.48,1000
0.06,126,0.28,0.48,1000
0.06,127,0.32,0.48,1000
0.06,128,0.36,0.48,1000
0.06,129,0,0.52,1000
0.06,130,0.04,0.52,1000
0.06,131,0.08,0.52,1000
0.06,132,0.12,0.52,1000
0.06,133,0.16,0.52,1000
0.06,134,0.2,0.52,1000
0.06,135,0.24,0.52,1000
0.06,136,0.28,0.52,1000
0.06,137,0.32,0.52,1000
0.06,138,0.36,0.52,1000
0.06,139,0,0.56,1000
0.06,140,0.04,0.56,1000
0.06,141,0.08,0.56,1000
0.06,142,0.12,0.56,1000
0.06,143,0.16,0.56,1000
0.06,144,0.2,0.56,1000
0.06,145,0.24,0.56,1000
0.06,146,0.28,0.56,1000
0.06,147,0.32,0.56,1000
0.06,148,0.36,0.56,1000
0.06,149,0,0.6,1000
0.06,150,0.04,0.6,1000
0.06,151,0.08,0.6,1000
0.06,152,0.12,0.6,1000
0.06,153,0.16,0.6,1000
0.06,154,0.2,0.6,1000
0.06,155,0.24,0.6,1000
0.06,156,0.28,0.6,1000
0.06,157,0.32,0.6,1000
0.06,158,0.36,0.6,1000
0.06,159,0,0.64,1000
0.06,160,0.04,0.64,1000
0.06,161,0.08,0.64,1000
0.06,162,0.12,0.64,1000
0.06,163,0.16,0.64,1000
0.06,164,0.2,0.64,1000
0.06,165,0.24,0.64,1000
0.06,166,0.28,0.64,1000
0.06,167,0.32,0.64,1000
0.06,168,0.36,0.64,1000
0.06,169,0,0.68,1000
0.06,170,0.04,0.68,1000
0.06,171,0.08,0.68,1000
0.06,172,0.12,0.68,1000
0.06,173,0.16,0.68,1000
0.06,174,0.2,0.68,1000
0.06,175,0.24,0.68,1000
0.06,176,0.28,0.68,1000
0.06,177,0.32,0.68,1000
0.06,178,0.36,0.68,1000
0.06,179,0,0.72,1000
0.06,180,0.04,0.72,1000
0.06,181,0.08,0.72,1000
0.06,182,0.12,0.72,1000
0.06,183,0.16,0.72,1000
0.06,184,0.2,0.72,1000
0.06,185,0.24,0.72,1000
0.06,186,0.28,0.72,1000
0.06,187,0.32,0.72,1000
0.06,188,0.36,0.72,1000
0.06,189,0,0.76,1000
0.06,190,0.04,0.76,1000
0.06,191,0.08,0.76,1000
0.06,192,0.12,0.76,1000
0.06,193,0.16,0.76,1000
0.06,194,0.2,0.76,1000
0.06,195,0.24,0.76,1000
0.06,196,0.28,0.76,1000
0.06,197,0.32,0.76,1000
0.06,198,0.36,0.76,1000
0.08,0,0.04,-6.75713e-07,1000
0.08,1,0.08,-6.75713e-07,1000
0.08,2,0.12,-6.75713e-07,1000
0.08,3,0.16,-6.75713e-07,1000
0.08,4,0.2,-6.75713e-07,1000
0.08,5,0.24,-6.75713e-07,1000
0.08,6,0.28,-6.75713e-07,1000
0.08,7,0.32,-6.75713e-07,1000
0.08,8,0.36,-6.75713e-07,1000
0.08,9,0,0.0399993,1000
0.08,10,0.04,0.0399993,1000
0.08,11,0.08,0.0399993,1000
0.08,12,0.12,0.0399993,1000
0.08,13,0.16,0.0399993,1000
0.08,14,0.2,0.0399993,1000
0.08,15,0.24,0.0399993,1000
0.08,16,0.28,0.0399993,1000
0.08,17,0.32,0.0399993,1000
0.08,18,0.36,0.0399993,1000
0.08,19,0,0.0799993,1000
0.08,20,0.04,0.0799993,1000
0.08,21,0.08,0.0799993,1000
0.08,22,0.12,0.0799993,1000
0.08,23,0.16,0.0799993,1000
0.08,24,0.2,0.0799993,1000
0.08,25,0.24,0.0799993,1000
0.08,26,0.28,0.0799993,1000
0.08,27,0.32,0.0799993,1000
0.08,28,0.36,0.0799993,1000
0.08,29,0,0.119999,1000
0.08,30,0.04,0.119999,1000
0.08,31,0.08,0.119999,1000
0.08,32,0.12,0.119999,1000
0.08,33,0.16,0.119999,1000
